"","Date","Team","Acquired","Relinquished","Notes"
"3205","2002-01-23","Jazz",""," Donyell Marshall","placed on IL with bruised right hip"
"4205","2002-01-23","Jazz"," Quincy Lewis","","activated from IL"
"5205","2002-01-24","Clippers",""," Lamar Odom","placed on IL with sprained right wrist"
"6205","2002-01-24","Clippers"," Harold Jamison","","activated from IL"
"7205","2002-01-24","Mavericks",""," Greg Buckner","placed on IR with left calf strain"
"8205","2002-01-24","Mavericks"," Charlie Bell","","activated from IL"
"9205","2002-01-24","Wizards",""," Christian Laettner","placed on IL with deep right thigh bruise"
"10205","2002-01-24","Wizards"," Courtney Alexander","","activated from IL"
"11205","2002-01-25","Celtics",""," Kedrick Brown","placed on IL with a sprained right ankle"
"12205","2002-01-25","Celtics"," Joseph Forte","","activated from IL"
"13205","2002-01-25","Pacers",""," Al Harrington","placed on IL with torn ACL in right knee"
"14205","2002-01-25","Pacers"," Norm Richardson","","activated from IL"
"15205","2002-01-25","Spurs",""," Jason Hart","placed on IL with left knee tendinitis"
"16205","2002-01-25","Spurs"," (William) Tony Parker","","activated from IL"
"17205","2002-01-26","Bulls",""," Greg Anthony","placed on IR with partially torn right Achilles tendon"
"18205","2002-01-26","Bulls",""," Ron Mercer","placed on IL with sprained MCL in right knee"
"19205","2002-01-26","Bulls"," A.J. Guyton","","activated from IL"
"20205","2002-01-26","Bulls"," Dalibor Bagaric","","activated from IL"
"21230","2002-01-26","Cavaliers",""," Jeff Trepagnier","placed on IL with right knee tendinitis"
"22213","2002-01-26","Cavaliers"," Michael Doleac","","activated from IL"
"23205","2002-01-26","Warriors",""," Dean Oliver","placed on IR with left shoulder tendinitis"
"24205","2002-01-26","Warriors"," Cedric Henderson (E.)","","activated from IL"
"25205","2002-01-28","Jazz",""," John Crotty","placed on IL with left knee tendinitis"
"26205","2002-01-29","Mavericks",""," Charlie Bell","placed on IL with sprained right ankle"
"2773","2002-01-29","Mavericks"," Michael Finley","","activated from IL"
"3206","2002-01-30","Wizards",""," Bobby Simmons","placed on IL with left knee tendinitis"
"4206","2002-01-30","Wizards"," Richard Hamilton","","activated from IL"
"5206","2002-01-31","Nets",""," Brandon Armstrong","placed on IL with left knee patella tendinitis"
"6206","2002-01-31","Nets"," Brian Scalabrine","","activated from IL"
"7206","2002-01-31","Raptors",""," Hakeem Olajuwon","placed on IL with strained right quadriceps"
"8206","2002-01-31","Raptors"," Michael Stewart","","activated from IL"
"9206","2002-02-01","Heat",""," Malik Allen","placed on IL with right knee tendinitis"
"10206","2002-02-01","Heat"," Sean Marks","","activated from IL"
"11206","2002-02-01","Nuggets",""," Scott Williams","placed on IL with sore lower back"
"12206","2002-02-01","Nuggets"," Tariq Abdul-Wahad / Olivier Saint-Jean","","activated from IL"
"13206","2002-02-01","Timberwolves",""," Maurice Evans","placed on IL with left knee tendinitis"
"14206","2002-02-01","Timberwolves"," Gary Trent","","activated from IL"
"15206","2002-02-02","Cavaliers",""," Trajan Langdon","placed on IL with sprained right ankle"
"16206","2002-02-02","Cavaliers"," Lamond Murray","","activated from IL"
"17206","2002-02-03","Knicks",""," Marcus Camby","placed on IL with torn muscle & bone contusion of right hip (out for season)"
"18206","2002-02-05","Hornets",""," David Wesley","placed on IR with cracked bone in left foot"
"19206","2002-02-05","Hornets"," Jerome Moiso","","activated from IL"
"20206","2002-02-05","Hornets"," Robert Traylor / Tractor Traylor","","activated from IL"
"21231","2002-02-05","Knicks"," Travis Knight","","activated from IL"
"22214","2002-02-05","Mavericks",""," Donnell Harvey","placed on IL with sprained right ankle"
"23206","2002-02-05","Mavericks"," Greg Buckner","","activated from IL"
"24206","2002-02-07","Lakers",""," Shaquille O'Neal","placed on IR with arthritic right big toe"
"25206","2002-02-07","Lakers"," Jelani McCoy","","activated from IL"
"26206","2002-02-12","Magic",""," Jeryl Sasser","placed on IL with right knee patella tendinitis"
"2774","2002-02-12","Magic"," Patrick Ewing Sr.","","activated from IL"
"3207","2002-02-12","Pistons",""," Brian Cardinal","placed on IL with patella tendinitis in both knees"
"4207","2002-02-12","Pistons",""," Victor Alexander","placed on IL with back spasms"
"5207","2002-02-12","Pistons"," Ratko Varda","","activated from IL"
"6207","2002-02-12","Pistons"," Rodney White","","activated from IL"
"7207","2002-02-12","Raptors",""," Vince Carter","placed on IL with strained left quadriceps"
"8207","2002-02-12","Raptors"," Mamadou N'diaye","","activated from IL"
"9207","2002-02-12","Raptors"," Morris Peterson","","activated from IL"
"10207","2002-02-12","Wizards",""," Kwame Brown","placed on IL with pulled hamstring and strained left calf"
"11207","2002-02-12","Wizards"," Christian Laettner","","activated from IL"
"12207","2002-02-13","Grizzlies",""," Nick Anderson","placed on IL with sprained left wrist"
"13207","2002-02-13","Hornets",""," Matt Bullard","placed on IL with back spasms"
"14207","2002-02-13","Suns",""," Alton Ford","placed on IL with back spasms"
"15207","2002-02-13","Suns"," Tom Gugliotta","","activated from IL"
"16207","2002-02-13","Timberwolves",""," Terrell Brandon","placed on IL with left knee synovitis"
"17207","2002-02-13","Timberwolves"," William Avery / Will Avery","","activated from IL"
"18207","2002-02-14","Clippers"," Keyon Dooling","","activated from IL"
"19207","2002-02-14","Grizzlies",""," Isaac Austin / Ike Austin","placed on IL with right knee tendinitis"
"20207","2002-02-14","Grizzlies"," Lorenzen Wright","","activated from IL"
"21232","2002-02-14","Nets",""," Donny Marshall","placed on IL with hamstring injury"
"22215","2002-02-14","Nets"," Brandon Armstrong","","activated from IL"
"23207","2002-02-14","Spurs",""," Amal McCaskill","placed on IL with left knee tendinitis"
"24207","2002-02-14","Spurs"," Danny Ferry","","activated from IL"
"25207","2002-02-15","Cavaliers",""," Vernell Coles / Bimbo Coles","placed on IL with sprained left knee"
"26207","2002-02-15","Cavaliers"," Trajan Langdon","","activated from IL"
"2775","2002-02-15","Hawks"," Alan Henderson","","activated from IL"
"3208","2002-02-15","Mavericks",""," Greg Buckner","placed on IL with strained left calf"
"4208","2002-02-15","Warriors",""," Cedric Henderson (E.)","placed on IL with sprained right ankle"
"5208","2002-02-15","Warriors"," Dean Oliver","","activated from IL"
"6208","2002-02-16","Cavaliers",""," Brian Skinner","placed on IL with neck spasms"
"7208","2002-02-16","Cavaliers"," Tyrone Hill","","activated from IL"
"8208","2002-02-16","Mavericks"," Evan Eschmeyer","","activated from IL"
"9208","2002-02-17","Hawks",""," Theo Ratliff","placed on IL with strained right hip"
"10208","2002-02-17","Hawks"," Toni Kukoc","","activated from IL"
"11208","2002-02-18","76ers",""," Derrick McKey","placed on IL with strained left calf"
"12208","2002-02-18","76ers"," Jabari Smith","","activated from IL"
"13208","2002-02-18","Blazers",""," Zach Randolph","placed on IL with strained right ankle"
"14208","2002-02-18","Blazers"," Ruben Boumtje Boumtje","","activated from IL"
"15208","2002-02-18","Bulls"," Ron Mercer","","activated from IL"
"16208","2002-02-18","Hornets"," Jamal Mashburn","","activated from IL"
"17208","2002-02-18","Nuggets",""," Chris Andersen","placed on IL with chipped bone in right wrist"
"18208","2002-02-18","Nuggets"," Scott Williams","","activated from IL"
"19208","2002-02-19","Celtics",""," Joseph Forte","placed on IL with sprained left ankle"
"20208","2002-02-19","Celtics"," Kedrick Brown","","activated from IL"
"21233","2002-02-19","Celtics"," Randy Brown","","activated from IL"
"22216","2002-02-19","Lakers",""," Samaki Walker","placed on IL with hyperextended right elbow"
"23208","2002-02-19","Lakers"," Shaquille O'Neal","","activated from IL"
"24208","2002-02-20","Bulls",""," Norm Richardson","placed on IL with sprained left ankle"
"25208","2002-02-20","Bulls"," Greg Anthony","","activated from IL"
"26208","2002-02-20","Mavericks"," Donnell Harvey","","activated from IL"
"2776","2002-02-21","Mavericks",""," Adrian Griffin","placed on IL with back spasms"
"3209","2002-02-21","Mavericks",""," Shawn Bradley","placed on IL with sore right knee"
"4209","2002-02-21","Mavericks"," Charlie Bell","","activated from IL"
"5209","2002-02-21","Suns",""," Jake Voskuhl","placed on IL with left foot injury"
"6209","2002-02-22","Clippers",""," Corey Maggette","placed on IR with dislocated right and pinky fingers on right hand"
"7209","2002-02-22","Nets",""," Todd MacCulloch","placed on IR with plantar fasciaitis in left foot"
"8209","2002-02-22","Nets"," Donny Marshall","","activated from IL"
"9209","2002-02-22","Raptors",""," Mamadou N'diaye","placed on IL with plantar fasciaitis in right foot"
"10209","2002-02-22","Raptors"," Jerome Williams","","activated from IL"
"11209","2002-02-22","Sonics",""," Vin Baker","placed on IR with dislocated toes on left foot"
"12209","2002-02-22","Suns"," Alton Ford","","activated from IL"
"13209","2002-02-23","Blazers"," Erick Barkley","","activated from IL"
"14209","2002-02-23","Heat",""," Eddie House","placed on IL with bruised right quadriceps"
"15209","2002-02-23","Heat"," Anthony Carter","","activated from IL"
"16209","2002-02-23","Raptors",""," Michael Bradley","placed on IL with sprained right ankle"
"17209","2002-02-24","Pistons",""," Ratko Varda","placed on IL with back spasms"
"18209","2002-02-24","Pistons"," Victor Alexander","","activated from IL"
"19209","2002-02-24","Raptors",""," Tracy Murray","placed on IL with back spasms"
"20209","2002-02-24","Raptors"," Hakeem Olajuwon","","activated from IL"
"21234","2002-02-24","Raptors"," Vince Carter","","activated from IL"
"22217","2002-02-25","Warriors",""," Chris Mills","placed on IR with right ankle inflammation"
"23209","2002-02-25","Warriors"," Cedric Henderson (E.)","","activated from IL"
"24209","2002-02-26","Cavaliers",""," Chris Mihm","placed on IL with bruised right knee"
"25209","2002-02-26","Cavaliers"," Brian Skinner","","activated from IL"
"26209","2002-02-26","Jazz",""," Quincy Lewis","placed on IL with left Achilles tendinitis"
"2777","2002-02-26","Jazz"," Donyell Marshall","","activated from IL"
"3210","2002-02-26","Kings",""," Mateen Cleaves","placed on IL with strained right plantar fascia muscle"
"4210","2002-02-26","Wizards",""," Michael Jordan (J.)","placed on IL with right knee injury"
"5210","2002-02-26","Wizards"," Kwame Brown","","activated from IL"
"6210","2002-02-28","Cavaliers",""," DeSagana Diop","placed on IL with strained right plantar fascia"
"7210","2002-02-28","Cavaliers"," Jeff Trepagnier","","activated from IL"
"8210","2002-02-28","Heat",""," LaPhonso Ellis","placed on IR with strained right adductor/groin"
"9210","2002-02-28","Heat"," Malik Allen","","activated from IL"
"10210","2002-02-28","Hornets",""," Jerome Moiso","placed on IL with left knee tendinitis"
"11210","2002-02-28","Hornets"," David Wesley","","activated from IL"
"12210","2002-02-28","Spurs",""," Stephen Jackson","placed on IL with strained right thumb"
"13210","2002-02-28","Spurs"," Bruce Bowen","","activated from IL"
"14210","2002-03-01","76ers",""," Jabari Smith","placed on IL with sprained left ankle"
"15210","2002-03-01","76ers",""," Samuel Dalembert","placed on IR with left knee bruise/bursitis"
"16210","2002-03-01","76ers"," Alvin Jones","","activated from IL"
"17210","2002-03-01","76ers"," Derrick McKey","","activated from IL"
"18210","2002-03-01","Blazers",""," Ruben Boumtje Boumtje","placed on IL with sprained left ankle"
"19210","2002-03-01","Blazers"," Zach Randolph","","activated from IL"
"20210","2002-03-01","Nuggets",""," Scott Williams","placed on IL with sore back"
"21235","2002-03-01","Nuggets"," Antonio McDyess","","activated from IL"
"22218","2002-03-02","Rockets",""," Oscar Torres","placed on IL with sprained right ankle"
"23210","2002-03-02","Rockets"," Walt Williams","","activated from IL"
"24210","2002-03-03","Bulls"," Jamal Crawford","","activated from IL"
"25210","2002-03-03","Grizzlies",""," Antonis Fotsis","placed on IL with right knee tendinitis"
"26210","2002-03-04","Blazers",""," Erick Barkley","placed on IL with left knee patella tendinitis"
"2778","2002-03-04","Clippers",""," Keyon Dooling","placed on IL with sore left ankle"
"3211","2002-03-05","Bucks",""," Mark Pope","placed on IL with back spasms"
"4211","2002-03-05","Heat",""," Mike James (Lamont)","placed on IL with patella tendinitis in both knees"
"5211","2002-03-05","Heat"," Eddie House","","activated from IL"
"6211","2002-03-05","Mavericks",""," Danny Manning","placed on IL with strained lower back"
"7211","2002-03-05","Mavericks",""," Tariq Abdul-Wahad / Olivier Saint-Jean","placed on IL with sore left knee"
"8211","2002-03-05","Mavericks"," Greg Buckner","","activated from IL"
"9211","2002-03-05","Mavericks"," Shawn Bradley","","activated from IL"
"10211","2002-03-07","Nuggets",""," Kenny Satterfield","placed on IL with left knee patella tendinitis"
"11211","2002-03-07","Pacers",""," Jamison Brewer","placed on IL with strained right calf muscle"
"12211","2002-03-07","Pacers"," Ron Mercer","","activated from IL"
"13211","2002-03-07","Pistons",""," Zeljko Rebraca","placed on IR with fractured right orbit bone"
"14211","2002-03-07","Pistons"," Brian Cardinal","","activated from IL"
"15211","2002-03-08","Sonics",""," Earl Watson","placed on IL with separated left shoulder"
"16211","2002-03-08","Suns",""," Joe Crispin","placed on IL with right knee patella tendinitis"
"17211","2002-03-08","Suns"," Jake Voskuhl","","activated from IL"
"18211","2002-03-08","Warriors",""," Cedric Henderson (E.)","placed on IL with left knee tendinitis"
"19211","2002-03-08","Warriors"," Chris Mills","","activated from IL"
"20211","2002-03-10","Bucks",""," Rafer Alston","placed on IR with sore right Achilles heel"
"21236","2002-03-10","Bucks"," Greg Foster","","activated from IL"
"22219","2002-03-10","Magic",""," Mike Miller","placed on IL with sprained left ankle & deep bone bruise"
"23211","2002-03-11","Mavericks",""," Evan Eschmeyer","placed on IL with sore left ankle"
"24211","2002-03-11","Mavericks"," Adrian Griffin","","activated from IL"
"25211","2002-03-12","Rockets",""," Kevin Willis","placed on IL with sprained left wrist"
"26211","2002-03-12","Rockets"," Oscar Torres","","activated from IL"
"2779","2002-03-13","Cavaliers",""," Jeff Trepagnier","placed on IL with right knee tendinitis"
"3212","2002-03-13","Cavaliers"," Chris Mihm","","activated from IL"
"4212","2002-03-15","Lakers",""," Jelani McCoy","placed on IL with bone bruise in right foot"
"5212","2002-03-15","Lakers"," Samaki Walker","","activated from IL"
"6212","2002-03-16","Pistons",""," Brian Cardinal","placed on IL with tendinitis in both knees"
"7212","2002-03-16","Pistons"," Zeljko Rebraca","","activated from IL"
"8212","2002-03-17","Raptors",""," Michael Stewart","placed on IL with surgery to repair hernia"
